customer_id,name,age,city,product_type,annual_income,credit_score,employment_type,aadhar_no,pan_no,account_opened_date
CUSR-102615,Aditya Deshmukh,44,Kolkata,Gold Loan,2863125,639,Business,5636-8622-1650,BKRP8393X,2016-10-19
CUSR-102616,Arjun Deshmukh,34,Chennai,Home Loan,1519037,660,Salaried,6555-8509-7550,HXBP9698L,2017-12-02
CUSR-102617,Diya Malhotra,28,Kolkata,Auto Loan,2009903,832,Self-Employed,4641-6472-7147,SSUP1529A,2021-05-15
CUSR-102618,Arjun Malhotra,52,Lucknow,Auto Loan,4890487,830,Salaried,6709-1319-4093,DKXP9612M,2019-01-07
CUSR-102619,Saanvi Joshi,32,Jaipur,Home Loan,3719103,770,Business,1559-7675-5880,GXAP5163M,2016-05-26
CUSR-102620,Sara Chatterjee,62,Jaipur,Auto Loan,2477699,680,Self-Employed,9841-8484-6194,QQXP2510F,2019-08-26
CUSR-102621,Diya Nair,56,Mumbai,Personal Loan,3662364,638,Salaried,3763-3367-9890,CMNP3620U,2023-11-30
CUSR-102622,Arjun Singh,43,Mumbai,Auto Loan,750783,694,Salaried,8813-2506-2668,GVIP2712S,2019-04-30
CUSR-102623,Ishani Iyer,26,Mumbai,Home Loan,3553773,797,Salaried,1450-1981-6355,PTSP7838K,2016-03-10
CUSR-102624,Krishna Malhotra,60,Lucknow,Credit Card,4780752,627,Salaried,8953-8070-6532,SRNP8081C,2020-01-29
CUSR-102625,Ananya Aggarwal,59,Mumbai,Gold Loan,3389485,730,Business,7198-9782-7597,LYSP2002D,2023-03-02
CUSR-102626,Aditya Deshmukh,33,Jaipur,Auto Loan,1008225,842,Self-Employed,7952-4485-6754,NKEP3299J,2018-10-18
CUSR-102627,Ananya Chatterjee,22,Lucknow,Credit Card,2306929,750,Business,4663-9700-7834,DBOP3219U,2022-12-30
CUSR-102628,Aditya Verma,34,Jaipur,Credit Card,3595461,710,Salaried,1384-6720-3260,UOXP9406H,2018-01-18
CUSR-102629,Riya Aggarwal,37,Ahmedabad,Gold Loan,4997099,817,Salaried,8628-2711-9564,FBUP8050J,2024-10-16
CUSR-102630,Aarav Bose,55,Mumbai,Gold Loan,3831767,816,Salaried,2657-5419-3498,EMKP3752Q,2018-05-31
CUSR-102631,Vihaan Aggarwal,52,Bangalore,Auto Loan,1287862,805,Salaried,3279-7286-7910,DCLP6524V,2020-07-09
CUSR-102632,Arjun Sharma,25,Chennai,Home Loan,2194201,673,Self-Employed,3120-6819-5896,JENP6362C,2016-10-01
CUSR-102633,Kabir Patel,37,Kolkata,Auto Loan,2432265,783,Salaried,4208-7601-1938,ATXP8098C,2023-08-15
CUSR-102634,Myra Malhotra,45,Delhi,Personal Loan,4161820,647,Business,2680-8537-4261,AERP1156F,2025-02-15
CUSR-102635,Anvi Joshi,39,Bangalore,Auto Loan,3491194,806,Business,9879-5966-8752,OJFP4062F,2020-05-13
CUSR-102636,Aditya Nair,37,Jaipur,Home Loan,4496270,841,Business,7777-1362-9143,RVFP7949G,2022-08-27
CUSR-102637,Vihaan Joshi,39,Bangalore,Gold Loan,739781,781,Self-Employed,2038-1353-5261,XHUP7034N,2016-11-05
CUSR-102638,Ananya Aggarwal,40,Ahmedabad,Home Loan,1704945,767,Business,3654-1285-8472,GWRP3643V,2023-04-10
CUSR-102639,Aaryan Nair,46,Lucknow,Credit Card,2333355,807,Salaried,2311-3265-3328,LNJP9081H,2023-10-27
CUSR-102640,Sara Singh,25,Hyderabad,Auto Loan,1094627,724,Self-Employed,8591-9457-1248,VRXP8642V,2019-06-30
CUSR-102641,Arjun Iyer,53,Bangalore,Home Loan,2963533,695,Salaried,8697-6137-6858,AIWP6209H,2019-10-27
CUSR-102642,Diya Nair,54,Hyderabad,Auto Loan,2068755,816,Salaried,5593-7178-9070,WHPP3699C,2016-05-03
CUSR-102643,Kabir Kapoor,37,Lucknow,Auto Loan,1107413,632,Business,3016-9776-4869,FSOP7450B,2023-10-21
CUSR-102644,Aaryan Nair,43,Chennai,Personal Loan,568947,612,Business,1842-8645-1532,WWAP2076G,2024-07-30
CUSR-102645,Myra Aggarwal,53,Lucknow,Credit Card,2971399,736,Self-Employed,2507-5059-6163,RLAP7130D,2017-12-12
CUSR-102646,Aadhya Joshi,56,Pune,Auto Loan,3594567,715,Business,3166-6279-3643,MFFP9930F,2019-07-29
CUSR-102647,Vihaan Bose,33,Ahmedabad,Personal Loan,3955972,658,Salaried,8061-2011-1901,UTNP5078A,2020-01-03
CUSR-102648,Aaryan Singh,33,Lucknow,Credit Card,3190988,672,Business,3824-9721-1057,RSVP2836N,2017-04-15
CUSR-102649,Vihaan Chatterjee,54,Pune,Home Loan,1794597,617,Self-Employed,6106-2519-5028,IEFP9944C,2021-11-15
CUSR-102650,Shaurya Bose,54,Lucknow,Home Loan,596539,785,Business,5972-4625-4737,XRBP2844V,2016-09-13
CUSR-102651,Sara Chatterjee,41,Kolkata,Home Loan,3859775,765,Salaried,4743-9855-2556,OAIP3347R,2021-12-21
CUSR-102652,Arjun Nair,44,Kolkata,Auto Loan,3978464,693,Salaried,4203-2549-6821,SWQP5684U,2017-07-22
CUSR-102653,Aaryan Malhotra,27,Ahmedabad,Gold Loan,1919984,716,Salaried,4993-8067-9280,HCKP3383T,2017-11-06
CUSR-102654,Sai Iyer,54,Jaipur,Personal Loan,3569225,837,Self-Employed,7130-4264-7073,NCLP7423T,2019-01-01
CUSR-102655,Sara Iyer,57,Lucknow,Home Loan,1965549,723,Business,3505-9742-6338,FJIP1069V,2023-02-23
CUSR-102656,Aditya Reddy,55,Jaipur,Home Loan,2290404,614,Salaried,1209-1645-9879,MYMP1090E,2019-10-14
CUSR-102657,Aarav Joshi,46,Bangalore,Credit Card,2187319,796,Self-Employed,5293-3524-5709,KNGP2582C,2020-04-11
CUSR-102658,Aadhya Nair,46,Mumbai,Home Loan,4280051,820,Business,8113-3434-5161,LFFP8791K,2016-07-25
CUSR-102659,Aditya Joshi,33,Pune,Credit Card,3475256,767,Salaried,4432-8934-8902,YGCP3761V,2023-09-20
CUSR-102660,Vihaan Aggarwal,33,Delhi,Auto Loan,4320047,638,Self-Employed,3455-9452-1967,TCYP9657H,2024-03-30
CUSR-102661,Ishani Gupta,24,Bangalore,Gold Loan,3726890,726,Self-Employed,4948-3626-2942,WNVP1140O,2019-03-31
CUSR-102662,Ishaan Kapoor,49,Delhi,Home Loan,1393597,849,Salaried,5362-6850-1833,JXIP6315R,2018-01-10
CUSR-102663,Anvi Patel,41,Delhi,Auto Loan,4279334,767,Salaried,7896-6409-6327,MTCP1950S,2024-07-14
CUSR-102664,Arjun Aggarwal,53,Delhi,Credit Card,3687576,744,Salaried,3526-9264-8551,QUYP9751X,2021-03-01
CUSR-102665,Kabir Singh,62,Delhi,Auto Loan,456672,720,Salaried,9440-2609-8996,NWTP7999D,2016-08-28
CUSR-102666,Riya Kapoor,23,Mumbai,Personal Loan,4530737,613,Self-Employed,7884-1946-5677,XGKP4154L,2024-05-17
CUSR-102667,Ishani Malhotra,61,Mumbai,Gold Loan,1267594,695,Salaried,2546-8669-5682,GHKP5563Y,2019-11-30
CUSR-102668,Ananya Reddy,57,Kolkata,Home Loan,3119879,715,Business,2193-1440-3873,YQEP1648O,2021-10-09
CUSR-102669,Sai Chatterjee,60,Hyderabad,Auto Loan,4682879,613,Business,2416-4082-4885,HYHP7225P,2020-08-22
CUSR-102670,Arjun Sharma,59,Delhi,Auto Loan,2484861,672,Salaried,7235-7041-3621,IFAP3732Y,2024-01-09
CUSR-102671,Aditya Gupta,30,Lucknow,Auto Loan,3132532,623,Self-Employed,1727-2099-3519,QYHP2608L,2019-05-04
CUSR-102672,Sara Sharma,33,Pune,Personal Loan,3753717,642,Self-Employed,8213-1082-2240,IFRP3818Y,2018-05-05
CUSR-102673,Sai Singh,57,Chennai,Home Loan,4310648,657,Business,9800-1844-3791,SLJP4580Y,2021-04-18
CUSR-102674,Diya Reddy,38,Ahmedabad,Personal Loan,1911844,623,Business,2742-4671-8677,YDWP4251M,2017-06-11
CUSR-102675,Aadhya Singh,35,Mumbai,Personal Loan,3030809,779,Business,5339-8576-3356,CILP6989K,2016-04-13
CUSR-102676,Sara Reddy,36,Pune,Auto Loan,1873951,766,Salaried,2884-1251-2511,HLGP1132J,2016-10-31
CUSR-102677,Sai Singh,52,Ahmedabad,Home Loan,3108095,784,Business,7103-9231-2114,DSDP5251F,2021-04-22
CUSR-102678,Kabir Iyer,32,Chennai,Personal Loan,1303986,620,Business,5864-2194-3558,VKIP1208P,2020-04-06
CUSR-102679,Ananya Iyer,64,Bangalore,Credit Card,2556956,787,Salaried,7486-3032-1264,AWHP1447O,2016-05-06
CUSR-102680,Vihaan Malhotra,35,Mumbai,Home Loan,3589702,756,Salaried,1412-6249-1650,OJOP4622C,2019-10-22
CUSR-102681,Ananya Singh,59,Kolkata,Auto Loan,1854371,801,Self-Employed,9150-6974-8625,BBDP8478R,2021-09-09
CUSR-102682,Sara Sharma,63,Lucknow,Credit Card,3914301,746,Salaried,7484-6091-9947,HMPP4987T,2018-07-31
CUSR-102683,Saanvi Chatterjee,37,Jaipur,Credit Card,3546690,842,Self-Employed,6326-3947-6596,KWNP2320V,2021-03-16
CUSR-102684,Vihaan Sharma,62,Kolkata,Credit Card,3896483,717,Salaried,1157-4116-6763,IMLP4223W,2020-04-15
CUSR-102685,Ananya Reddy,30,Delhi,Auto Loan,2127821,842,Self-Employed,5869-8126-5879,XXJP4754R,2023-09-20
CUSR-102686,Ishaan Patel,44,Hyderabad,Personal Loan,3384041,645,Self-Employed,8442-4638-3519,XFNP9937S,2017-04-07
CUSR-102687,Aadhya Nair,52,Bangalore,Gold Loan,3187429,708,Salaried,8109-1972-7018,CYDP6527W,2017-03-20
CUSR-102688,Shaurya Deshmukh,22,Hyderabad,Gold Loan,4975708,785,Business,8991-1657-1304,EGMP8003S,2018-01-29
CUSR-102689,Aarav Malhotra,29,Bangalore,Home Loan,673363,756,Salaried,7057-8481-4483,MVJP8132D,2023-10-06
CUSR-102690,Aadhya Sharma,33,Mumbai,Gold Loan,2574465,807,Salaried,3602-5083-4671,OIPP8796P,2019-04-24
CUSR-102691,Sara Kapoor,48,Ahmedabad,Credit Card,3860966,674,Self-Employed,7671-1720-9571,AIDP1658S,2018-11-15
CUSR-102692,Ishaan Aggarwal,51,Hyderabad,Gold Loan,1937537,614,Self-Employed,5272-1689-4043,AJDP4139I,2023-04-15
CUSR-102693,Aadhya Kapoor,26,Lucknow,Personal Loan,1062063,669,Business,6630-7685-7049,TJTP2517M,2024-04-29
CUSR-102694,Diya Gupta,24,Hyderabad,Credit Card,4928809,735,Salaried,9237-3459-9160,HUHP3365F,2018-12-11
CUSR-102695,Aaryan Joshi,40,Kolkata,Gold Loan,1357477,811,Self-Employed,8796-5267-8443,NHCP9932D,2016-05-31
CUSR-102696,Arjun Bose,48,Lucknow,Personal Loan,2223464,711,Salaried,2279-3977-7559,WJHP5312J,2021-10-02
CUSR-102697,Aadhya Singh,37,Pune,Auto Loan,2008102,849,Business,1490-2470-7458,FWYP9458I,2017-04-23
CUSR-102698,Sai Gupta,26,Hyderabad,Home Loan,2791440,792,Salaried,2680-5833-6028,APIP3932G,2024-03-24
CUSR-102699,Krishna Singh,50,Bangalore,Credit Card,1034396,683,Self-Employed,3843-3028-2747,JLOP9756S,2021-05-27
CUSR-102700,Krishna Deshmukh,33,Chennai,Personal Loan,623384,603,Self-Employed,7639-5156-6500,QTVP4179C,2018-07-17
CUSR-102701,Ishani Malhotra,27,Jaipur,Home Loan,4013784,707,Self-Employed,8261-6964-9829,KMLP3069K,2023-04-28
CUSR-102702,Myra Verma,61,Delhi,Home Loan,765427,666,Self-Employed,4118-2323-3968,EBMP9002R,2018-04-06
CUSR-102703,Aaryan Singh,57,Lucknow,Personal Loan,3753007,723,Self-Employed,2343-6691-4337,LQYP8248W,2018-12-25
CUSR-102704,Saanvi Iyer,44,Chennai,Home Loan,2541125,780,Salaried,9704-3272-7058,XHPP6949L,2021-08-17
CUSR-102705,Saanvi Deshmukh,50,Ahmedabad,Auto Loan,481580,727,Salaried,5297-8051-4445,NIEP4671K,2023-01-26
CUSR-102706,Krishna Aggarwal,29,Bangalore,Credit Card,2906845,795,Salaried,2884-8896-8099,NIIP9479P,2021-06-06
CUSR-102707,Kiara Reddy,38,Pune,Home Loan,1342337,776,Business,8668-4029-5144,RRDP7008J,2023-05-07
CUSR-102708,Saanvi Malhotra,27,Ahmedabad,Gold Loan,3765994,617,Business,3694-3058-1478,DNJP7737Y,2024-06-08
CUSR-102709,Saanvi Nair,34,Hyderabad,Auto Loan,1270458,676,Salaried,2592-7205-1208,QIHP1331Y,2020-03-01
CUSR-102710,Vihaan Aggarwal,54,Chennai,Home Loan,3182230,811,Self-Employed,9469-4488-6652,DHHP1232O,2018-07-21
CUSR-102711,Shaurya Verma,38,Kolkata,Personal Loan,1948585,711,Self-Employed,6544-1055-7609,SLPP4146T,2023-09-21
CUSR-102712,Saanvi Sharma,27,Mumbai,Home Loan,3625220,642,Self-Employed,4870-9809-1360,YCOP5262F,2019-12-12
CUSR-102713,Aditya Reddy,40,Bangalore,Home Loan,3387207,698,Salaried,5278-9771-1261,UDNP3714P,2023-06-15
CUSR-102714,Aditya Deshmukh,62,Pune,Auto Loan,3390180,684,Salaried,5046-7595-8514,XRHP2898W,2016-07-25
CUSR-102715,Shaurya Malhotra,62,Ahmedabad,Personal Loan,3615430,707,Salaried,9779-6075-5660,JOYP5724U,2023-09-05
CUSR-102716,Aditya Nair,62,Pune,Personal Loan,2412275,630,Salaried,3402-7168-8093,WJIP4035V,2016-08-21
CUSR-102717,Riya Iyer,41,Bangalore,Home Loan,2779928,636,Self-Employed,8223-5925-3798,SRQP2118H,2024-01-14
CUSR-102718,Sara Nair,53,Jaipur,Credit Card,2025340,733,Self-Employed,6792-1208-3537,VGXP9216F,2019-01-09
CUSR-102719,Ishaan Nair,44,Pune,Credit Card,4557524,812,Self-Employed,9537-1133-1963,KKYP8910U,2023-07-24
CUSR-102720,Sai Iyer,63,Bangalore,Auto Loan,4875979,764,Salaried,1155-5706-6492,ADTP7109J,2021-10-19
CUSR-102721,Sara Malhotra,57,Jaipur,Auto Loan,1731822,759,Salaried,2268-3591-3284,BNGP8229R,2020-03-10
CUSR-102722,Ananya Chatterjee,48,Bangalore,Auto Loan,3795636,795,Self-Employed,1238-7429-4138,UBXP9819T,2021-01-23
CUSR-102723,Ishaan Verma,44,Pune,Gold Loan,4305717,621,Business,3948-5871-9537,IWYP7031H,2017-04-26
CUSR-102724,Kabir Reddy,58,Pune,Gold Loan,2252562,656,Business,9606-8210-9012,HCLP4740A,2024-06-26
CUSR-102725,Aditya Reddy,55,Ahmedabad,Personal Loan,1231511,661,Self-Employed,5760-3428-1193,OMOP7054B,2025-01-09
CUSR-102726,Aaryan Aggarwal,24,Ahmedabad,Auto Loan,3505598,745,Business,2421-7494-2641,XRSP2493Y,2021-03-25
CUSR-102727,Aaryan Sharma,55,Hyderabad,Credit Card,4290433,812,Business,2938-1998-8586,IBHP9709C,2019-01-28
CUSR-102728,Anvi Patel,55,Delhi,Gold Loan,4609009,654,Self-Employed,8202-6614-8962,BSAP2774W,2019-02-28
CUSR-102729,Ishani Deshmukh,26,Mumbai,Home Loan,1022376,715,Self-Employed,2545-3648-1627,QIQP4336W,2022-11-19
CUSR-102730,Kiara Patel,52,Delhi,Credit Card,669486,649,Self-Employed,6088-3883-2132,GIWP9801W,2023-09-20
CUSR-102731,Kiara Sharma,22,Jaipur,Auto Loan,1880159,750,Business,7651-6016-9362,TGEP1708E,2023-01-16
CUSR-102732,Riya Kapoor,53,Pune,Personal Loan,3994250,830,Self-Employed,3287-2452-7692,IUCP6263E,2019-06-17
CUSR-102733,Aadhya Nair,30,Hyderabad,Auto Loan,2194481,776,Business,3162-2267-6930,AXQP4975S,2020-09-07
CUSR-102734,Sai Kapoor,42,Kolkata,Credit Card,1782433,803,Salaried,9137-9054-7571,TDAP3873E,2020-05-17
CUSR-102735,Myra Gupta,34,Ahmedabad,Auto Loan,3734021,769,Self-Employed,8079-8977-5317,WBSP9546C,2016-04-29
CUSR-102736,Aaryan Joshi,29,Jaipur,Credit Card,3442802,780,Self-Employed,7887-1091-7032,KCJP6337P,2016-07-17
CUSR-102737,Aarav Kapoor,24,Chennai,Personal Loan,2967976,627,Self-Employed,1856-2045-7726,SWUP8100K,2023-06-08
CUSR-102738,Ananya Sharma,22,Chennai,Personal Loan,2590237,786,Business,5121-2025-6334,AQUP1039Q,2019-04-23
CUSR-102739,Aaryan Sharma,54,Kolkata,Personal Loan,1726524,703,Self-Employed,2704-7314-5261,KCMP2908I,2024-08-07
CUSR-102740,Kiara Bose,39,Hyderabad,Gold Loan,1557637,818,Business,4380-7833-8219,BXNP8848Y,2021-02-27
CUSR-102741,Myra Singh,33,Pune,Personal Loan,1243655,614,Salaried,9148-7034-8584,AGDP6097S,2017-08-16
CUSR-102742,Ishaan Gupta,22,Lucknow,Gold Loan,1050004,766,Self-Employed,8935-4373-9895,NPHP6346U,2020-10-27
CUSR-102743,Myra Gupta,25,Bangalore,Gold Loan,1082113,752,Self-Employed,8134-8259-7230,RHPP6748C,2018-03-28
CUSR-102744,Ananya Bose,38,Jaipur,Auto Loan,4618461,683,Business,2108-4158-7579,SIKP3325O,2018-05-14
CUSR-102745,Arjun Sharma,46,Lucknow,Auto Loan,3666440,840,Self-Employed,1653-9250-1926,EEUP7421U,2020-01-22
CUSR-102746,Aadhya Nair,51,Delhi,Personal Loan,1826361,734,Salaried,4196-2854-2290,PCQP3851R,2016-03-29
CUSR-102747,Aaryan Joshi,63,Chennai,Credit Card,1991749,628,Self-Employed,2393-4251-9199,XWCP1558J,2017-02-24
CUSR-102748,Ishani Iyer,31,Jaipur,Home Loan,618881,641,Salaried,2188-3659-6300,DXTP1698G,2021-09-05
CUSR-102749,Aarav Joshi,28,Jaipur,Personal Loan,1966532,651,Self-Employed,5376-9804-5832,NNSP7328V,2020-08-30
CUSR-102750,Kabir Singh,64,Hyderabad,Home Loan,1925381,718,Salaried,2557-3318-7326,FCKP4919B,2022-03-23
CUSR-102751,Aditya Iyer,46,Bangalore,Personal Loan,1096085,797,Self-Employed,1644-6758-4344,HTOP2839R,2018-12-19
CUSR-102752,Saanvi Bose,47,Jaipur,Gold Loan,3151638,732,Business,2736-1225-6462,DRRP3810G,2023-04-08
CUSR-102753,Aarav Aggarwal,24,Mumbai,Home Loan,921496,692,Business,3296-6372-7313,RNXP6862O,2024-05-15
CUSR-102754,Aadhya Gupta,61,Hyderabad,Gold Loan,4599342,625,Business,2754-7906-6556,MYUP8431O,2024-09-06
CUSR-102755,Aarav Joshi,22,Pune,Credit Card,1616751,705,Self-Employed,9885-7993-8695,NNNP8374E,2024-10-26
CUSR-102756,Arjun Gupta,53,Jaipur,Auto Loan,3452111,787,Self-Employed,3083-7703-6293,MBXP5849F,2017-12-18
CUSR-102757,Aditya Sharma,60,Kolkata,Personal Loan,3687421,813,Salaried,1512-5855-2761,HVQP4521D,2023-12-18
CUSR-102758,Aadhya Singh,28,Jaipur,Auto Loan,4515159,707,Salaried,9582-9747-7406,SMBP8423S,2022-04-13
CUSR-102759,Kiara Chatterjee,50,Bangalore,Personal Loan,4625389,617,Self-Employed,2845-9037-5226,RMHP2064P,2024-01-04
CUSR-102760,Vihaan Bose,30,Hyderabad,Auto Loan,1400701,696,Salaried,5893-6347-2512,OJJP5811K,2022-08-12
CUSR-102761,Aditya Joshi,32,Mumbai,Gold Loan,3352902,670,Business,2555-3483-2728,HWEP1908P,2022-05-11
CUSR-102762,Vihaan Singh,39,Mumbai,Credit Card,1365959,697,Self-Employed,1905-6016-8197,VLKP8939S,2020-01-16
CUSR-102763,Aaryan Patel,40,Bangalore,Home Loan,4733652,738,Salaried,7410-8258-8874,EFHP3631C,2019-07-02
CUSR-102764,Riya Nair,38,Mumbai,Auto Loan,1378056,673,Self-Employed,7732-1960-2811,TJEP1328S,2020-07-05
CUSR-102765,Diya Reddy,54,Jaipur,Auto Loan,624582,843,Business,7961-6159-9191,JMAP7946F,2016-04-01
CUSR-102766,Diya Aggarwal,23,Delhi,Gold Loan,1246648,761,Salaried,6462-7622-5296,ETTP7953X,2022-10-05
CUSR-102767,Saanvi Deshmukh,36,Mumbai,Credit Card,3271376,646,Self-Employed,2351-1982-1496,HKVP2719W,2019-01-29
CUSR-102768,Aarav Verma,47,Kolkata,Auto Loan,804503,749,Salaried,9669-1515-4227,FCIP9222L,2018-03-19
CUSR-102769,Arjun Singh,41,Chennai,Auto Loan,3230065,717,Business,9454-5912-6008,OFOP9266O,2021-03-27
CUSR-102770,Sai Kapoor,62,Jaipur,Home Loan,846406,726,Self-Employed,7331-1363-1705,XGPP6248H,2020-03-16
CUSR-102771,Kiara Nair,41,Kolkata,Personal Loan,1760005,768,Salaried,9590-8611-2712,QEUP2852X,2017-11-08
CUSR-102772,Arjun Iyer,64,Hyderabad,Credit Card,3082368,819,Salaried,5869-8216-2146,OPIP6250C,2021-01-24
CUSR-102773,Ananya Aggarwal,62,Lucknow,Credit Card,3282506,681,Self-Employed,2325-1369-1098,DSJP6433N,2018-06-01
CUSR-102774,Kiara Nair,55,Kolkata,Credit Card,3871024,611,Salaried,4077-5279-8335,EDHP2889T,2023-02-10
CUSR-102775,Riya Deshmukh,57,Pune,Credit Card,3806278,767,Business,3790-1088-3546,JIQP3704M,2021-05-21
CUSR-102776,Diya Joshi,64,Kolkata,Home Loan,4688425,758,Business,2836-3207-4490,ULVP5015C,2017-11-30
CUSR-102777,Aditya Reddy,44,Kolkata,Home Loan,2322073,773,Business,7420-4822-3185,DANP8889A,2023-05-09
CUSR-102778,Anvi Sharma,63,Pune,Gold Loan,1076791,832,Salaried,3901-5847-7533,QAVP4484T,2024-10-28
CUSR-102779,Krishna Gupta,24,Mumbai,Personal Loan,3375782,602,Self-Employed,1176-9485-6001,UATP4246I,2020-10-01
CUSR-102780,Sai Joshi,29,Kolkata,Personal Loan,2943499,768,Self-Employed,1475-9879-2886,XNRP5920P,2020-09-07
CUSR-102781,Aarav Aggarwal,39,Chennai,Personal Loan,4301395,754,Self-Employed,6409-9026-8882,RTRP7937E,2018-04-27
CUSR-102782,Diya Aggarwal,22,Hyderabad,Home Loan,1155471,626,Business,9617-8353-7421,OWXP8509A,2018-01-06
CUSR-102783,Sai Patel,33,Pune,Gold Loan,573853,664,Salaried,9402-3933-5710,ICSP5297I,2023-07-03
CUSR-102784,Ishaan Deshmukh,32,Bangalore,Gold Loan,4887414,826,Business,6141-5187-5741,ETSP1493S,2016-12-22
CUSR-102785,Vihaan Reddy,59,Lucknow,Gold Loan,4645675,802,Business,2813-2780-8503,IKDP7985W,2024-05-31
CUSR-102786,Arjun Nair,53,Ahmedabad,Personal Loan,1909248,843,Self-Employed,3144-9925-2861,CMHP7706Q,2024-06-26
CUSR-102787,Sai Sharma,58,Mumbai,Personal Loan,837478,794,Self-Employed,4798-3837-8314,NOFP9278K,2024-03-14
CUSR-102788,Aditya Singh,35,Mumbai,Credit Card,4685262,755,Salaried,6610-2294-5882,DMVP5827K,2018-06-27
CUSR-102789,Aarav Aggarwal,26,Chennai,Credit Card,3535332,845,Business,7496-6165-2264,BENP1301K,2017-07-13
CUSR-102790,Aarav Joshi,51,Chennai,Credit Card,1735130,634,Business,3508-4674-5655,RFNP7694S,2023-01-14
CUSR-102791,Anvi Sharma,26,Delhi,Personal Loan,3410192,734,Salaried,7624-7368-8621,JKQP3374J,2018-12-22
CUSR-102792,Aaryan Reddy,32,Kolkata,Credit Card,1943637,715,Business,9015-1644-2574,LHOP8909N,2022-05-09
CUSR-102793,Diya Patel,32,Hyderabad,Home Loan,1786713,671,Business,5110-4816-7777,JJLP1608I,2016-08-01
CUSR-102794,Diya Patel,49,Kolkata,Credit Card,1623705,794,Self-Employed,7279-9902-4196,AJKP1404O,2022-05-10
CUSR-102795,Aditya Singh,28,Hyderabad,Credit Card,760773,639,Business,8028-2909-8037,FXNP8701Y,2022-03-30
CUSR-102796,Ishaan Sharma,47,Kolkata,Credit Card,3868211,609,Business,8760-8824-5127,GWQP1745V,2019-03-05
CUSR-102797,Diya Kapoor,46,Delhi,Home Loan,4592297,759,Self-Employed,4456-8282-7402,MPDP8387P,2017-09-20
CUSR-102798,Myra Malhotra,49,Lucknow,Home Loan,4360156,728,Self-Employed,5338-1861-1906,LQSP2052F,2022-07-29
CUSR-102799,Ishaan Nair,38,Delhi,Gold Loan,983978,689,Self-Employed,1118-1868-8775,TBOP1460K,2022-05-24
CUSR-102800,Aadhya Aggarwal,33,Ahmedabad,Personal Loan,4698397,810,Self-Employed,1573-7563-6833,QCKP1443J,2017-06-25
CUSR-102801,Kabir Iyer,32,Pune,Home Loan,737607,659,Salaried,4787-9153-2188,RFHP4842K,2018-01-10
CUSR-102802,Sai Malhotra,43,Chennai,Personal Loan,2091035,801,Salaried,5563-4899-8425,CHPP4983L,2017-10-24
CUSR-102803,Sara Nair,25,Delhi,Auto Loan,2459207,616,Business,4177-6260-4202,JBTP9665G,2017-04-05
CUSR-102804,Ishani Chatterjee,43,Ahmedabad,Gold Loan,3287934,757,Business,6547-4655-6646,UUJP4202N,2022-07-10
CUSR-102805,Aaryan Malhotra,33,Chennai,Credit Card,4504299,791,Self-Employed,3102-8121-3920,UKXP7502A,2021-02-07
CUSR-102806,Ananya Joshi,37,Pune,Home Loan,1593174,788,Business,9702-8449-7311,QAXP7489X,2021-09-21
CUSR-102807,Aarav Reddy,47,Kolkata,Gold Loan,2575848,608,Self-Employed,1333-4024-8811,SXSP2672C,2019-10-29
CUSR-102808,Krishna Deshmukh,42,Jaipur,Gold Loan,4183029,840,Self-Employed,2536-7123-3454,VWKP7129B,2021-11-17
CUSR-102809,Aaryan Patel,32,Ahmedabad,Gold Loan,4320512,698,Business,9055-7046-1287,TIVP9625W,2021-05-12
CUSR-102810,Saanvi Malhotra,29,Kolkata,Home Loan,2830874,652,Self-Employed,2329-7306-4774,WBOP5447J,2024-10-27
CUSR-102811,Aarav Verma,32,Pune,Personal Loan,4502711,810,Self-Employed,5022-8156-6407,TKHP6066Y,2025-02-02
CUSR-102812,Kiara Reddy,63,Kolkata,Personal Loan,3063947,837,Business,3240-2353-2353,JTMP3552K,2019-01-02
CUSR-102813,Vihaan Joshi,34,Mumbai,Credit Card,2165060,606,Self-Employed,6694-7880-5688,XEIP3659K,2024-07-22
CUSR-102814,Ananya Kapoor,43,Mumbai,Personal Loan,1454558,755,Business,1487-8434-1563,MKRP9492P,2024-04-30
CUSR-102815,Sai Malhotra,34,Mumbai,Auto Loan,1530402,750,Self-Employed,6648-1568-6756,NGPP7321M,2024-09-24
CUSR-102816,Ananya Sharma,62,Lucknow,Gold Loan,4898436,689,Self-Employed,7023-9468-7682,EAWP7729D,2017-09-16
CUSR-102817,Arjun Verma,36,Delhi,Home Loan,2346209,601,Business,6373-6800-1936,GADP5296Y,2020-04-06
CUSR-102818,Shaurya Bose,45,Jaipur,Home Loan,3625741,664,Self-Employed,8951-7081-6366,BTVP5409W,2022-07-14
CUSR-102819,Diya Singh,29,Ahmedabad,Personal Loan,1281289,727,Business,7679-1971-1810,FJTP1936H,2020-12-08
CUSR-102820,Saanvi Patel,57,Hyderabad,Auto Loan,2666685,765,Business,9644-7220-2005,KQSP2089D,2021-07-01
CUSR-102821,Aarav Singh,64,Mumbai,Auto Loan,3754972,815,Business,4714-7114-3472,INJP1832T,2020-08-03
CUSR-102822,Ishaan Iyer,63,Chennai,Personal Loan,3910238,826,Business,3961-1015-6551,YXLP1228H,2020-03-27
